filename,descrizione,contesto_di_provenienza,note
images/hall-algobbo.jpg,hall algobbo,https://albergoalgobbo.it/galleria/,
images/hall-algobbo2.jpg,hall algobbo2,https://albergoalgobbo.it/galleria/,
images/hall-algobbo_1.jpg,hall algobbo,https://albergoalgobbo.it/gallery/,
images/honeymoon-300x189.jpg,honeymoon 300x189,https://albergoalgobbo.it/styleguide/,
images/hot-weather.png,RISCALDAMENTO,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/ingresso1-algobbo.jpg,ingresso1 algobbo,https://albergoalgobbo.it/galleria/,
images/ingresso2-algobbo.jpg,ingresso2 algobbo,https://albergoalgobbo.it/galleria/,
images/ingresso3-algobbo.jpg,ingresso3 algobbo,https://albergoalgobbo.it/galleria/,
images/it.svg,it,https://albergoalgobbo.it/,
images/mappa2-300x131.jpg,mappa2 300x131,https://albergoalgobbo.it/contactit/,
images/mappa2-80x35.jpg,mappa2 80x35,https://albergoalgobbo.it/contactit/,
images/mappa2.jpg,mappa2,https://albergoalgobbo.it/contactit/,
images/pontedelleguglie-720x470.jpg,pontedelleguglie 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/pontedelleguglie.jpg,Ponte delle Guglie,https://albergoalgobbo.it/places/ponte-delle-guglie/,
images/pulizie-e1670003932870.jpg,SERVIZIO PULIZIE,https://albergoalgobbo.it/,
images/recensioni-cla-150x150.png,Claudio Miglia,https://albergoalgobbo.it/,
images/recensioni-m-150x150.png,Alessandro Alba,https://albergoalgobbo.it/,
images/recensioni-sam-150x150.png,Samantha Allegri,https://albergoalgobbo.it/,
images/reception-algobbo1.jpg,reception algobbo1,https://albergoalgobbo.it/gallery/,
images/reception-algobbo2.jpg,reception algobbo2,https://albergoalgobbo.it/galleria/,
images/restaurant-1.png,COLAZIONE,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/restaurant11-300x188.jpg,restaurant11 300x188,https://albergoalgobbo.it/styleguide/,
images/risc.jpg,RISCALDAMENTO,https://albergoalgobbo.it/,
images/rooms-1.png,SERVIZIO PULIZIE,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/sala-colazione-algobbo.jpg,sala colazione algobbo,https://albergoalgobbo.it/galleria/,
images/sala-colazione-algobbo2.jpg,sala colazione algobbo2,https://albergoalgobbo.it/galleria/,
images/sanmarco-720x470.jpg,sanmarco 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/sanmarco.jpg,Piazza San Marco,https://albergoalgobbo.it/places/piazza-san-marco/,
images/servizi-ristoranti.jpg,servizi ristoranti,https://albergoalgobbo.it/facilities-2/,
images/slide-2-1.jpg,slide 2 1,https://albergoalgobbo.it/galleria/,
images/standard-dp6-1-300x200.jpg,standard dp6 1 300x200,https://albergoalgobbo.it/,
images/standard-dp6-1-80x53.jpg,standard dp6 1 80x53,https://albergoalgobbo.it/,
images/standard-dp6-1.jpg,standard dp6 1,https://albergoalgobbo.it/,
images/standard-s-8-1-300x200.jpg,standard s 8 1 300x200,https://albergoalgobbo.it/,
images/standard-s-8-1-80x53.jpg,standard s 8 1 80x53,https://albergoalgobbo.it/,
images/standard-s-8-1.jpg,standard s 8 1,https://albergoalgobbo.it/,
images/stazione-di-venezia-santa-lucia-1200x800.jpg,Stazione Santa Lucia,https://albergoalgobbo.it/places/stazione-s-lucia/,
images/stazione-di-venezia-santa-lucia-720x470.jpg,stazione di venezia santa lucia 720x470,https://albergoalgobbo.it/attrazioni-e-utilita/,
images/the-pretty-girl-embarcing-cat-and-dog.jpg,ANIMALI,https://albergoalgobbo.it/,
images/wf.png,WIFI,https://albergoalgobbo.it/ | Hotel situato nel cuore di Venezia - albergoalgobbo.it,
images/wifi-signal.jpg,WIFI,https://albergoalgobbo.it/,
logos/logo-al-gobbo-B-300x63.png,logo al gobbo B 300x63,https://albergoalgobbo.it/,
logos/logo-al-gobbo-B-768x162.png,logo al gobbo B 768x162,https://albergoalgobbo.it/,
logos/logo-al-gobbo-B-80x17.png,logo al gobbo B 80x17,https://albergoalgobbo.it/,
logos/logo-al-gobbo-B.png,logo al gobbo B,https://albergoalgobbo.it/,
logos/logo-al-gobbo-BIANCO.png,albergoalgobbo.it,https://albergoalgobbo.it/,
logos/logo-al-gobbo2-2.jpg,albergoalgobbo.it,https://albergoalgobbo.it/,
favicon/cropped-logo-al-gobbo-512-180x180.jpg,favicon,https://albergoalgobbo.it/,
favicon/cropped-logo-al-gobbo-512-192x192.jpg,favicon,https://albergoalgobbo.it/,
favicon/cropped-logo-al-gobbo-512-32x32.jpg,favicon,https://albergoalgobbo.it/,
